"","Team","Klasse","Beker","FIDE","KNSB","ClubNaam","Lat","Long"
"76","HWP Sas van Gent 2","2D","",2154,2105,"HWP Sas van Gent",51.2265,3.7997
"77","HWP Sas van Gent 3","3G","",2043,2021,"HWP Sas van Gent",51.2265,3.7997
"78","HWP Sas van Gent 4","3F","",1927,1895,"HWP Sas van Gent",51.2265,3.7997
"79","Kennemer Combinatie 2","2B","",2141,2140,"Kennemer Combinatie",52.3973045,4.65065
"80","Kennemer Combinatie","M","C",2432,2434,"Kennemer Combinatie",52.3973045,4.65065
"81","Krimpen aan den IJssel","3F","C",2086,2054,"Krimpen aan den Ijssel",51.9161644,4.5967598
"82","Laurierboom-Gambiet","2C","",2135,2122,"Laurierboom-Gambiet",52.3716393,4.8688798
"83","Leek (OSBO)","Regionaal","A",0,0,"Leek (OSBO)",53.16142,6.36899
"84","Leiderdorp","3D","C",2003,2017,"Leiderdorp",52.15102,4.52539
"85","Lonneker","2A","A",2075,2065,"Lonneker",52.2491798,6.90696
"86","LSG 3","3E","",2116,2100,"LSG",52.1563606,4.46522
"87","LSG IntelliMagic","M","C",2442,2434,"LSG",52.1563606,4.46522
"88","LSG 2","3D","",2178,2182,"LSG",52.1563606,4.46522
"89","Messemaker 1847","1A","C",2216,2205,"Messemaker",52.0190392,4.6869602
"90","Messemaker 1847 2","3F","",2040,2022,"Messemaker",52.0190392,4.6869602
"91","Messemaker 1847 (RSB)","Regionaal","C",0,0,"Messemaker",52.0190392,4.6869602
"92","MSV","3B","A",2186,2149,"MSV",52.6972885,6.1891799
"93","Oegstgeest '80","2B","C",2127,2073,"Oegstgeest '80",52.1563606,4.46522
"94","Overschie","3G","",2046,2007,"Overschie",51.9371796,4.43648
"95","Pathena Rotterdam","M","",2381,2371,"Pathena Rotterdam",51.9281082,4.5362
"96","Paul Keres","1A","B",2256,2256,"Paul Keres",52.1043892,5.1163902
"97","Paul Keres 2","2C","",2084,2106,"Paul Keres",52.1043892,5.1163902
"98","Paul Keres 3","3C","",2042,1988,"Paul Keres",52.1043892,5.1163902
"99","Philidor 1847 2","2A","",2025,2016,"Philidor 1847",53.2114906,5.8263302
"100","Philidor 1847","1A","A",2201,2230,"Philidor 1847",53.2114906,5.8263302
"101","Philidor Leiden","2C","C",2104,2122,"Philidor Leiden",52.1563606,4.46522
"102","Philidor Leiden (LeiSB)","Regionaal","C",0,0,"Philidor Leiden",52.1563606,4.46522
